camera_site,filename,class_id,prob,class_name,count,rand_name,conf,expert_updated,event,timestamp,flash_fired
cam_1,I__00001-0.JPG,1,0.9956591,tasmanian_pademelon,1,Y7WrHYVHa0cPx2P5.JPG,0.868,0,1,21/07/2023 16:50:50,1
cam_1,I__00002-0.JPG,8,0.9952674,superb_lyrebird,1,SNBevu3BWQzAGfig.JPG,0.905,0,2,22/07/2023 11:29:20,0
cam_1,I__00003-0.JPG,8,0.97921664,superb_lyrebird,1,oD9GoE8YcanwYETO.JPG,0.799,0,2,22/07/2023 11:29:50,0
cam_1,I__00004-0.JPG,8,0.95144963,superb_lyrebird,1,h9xImObfN2pBWpym.JPG,0.96,0,2,22/07/2023 11:30:26,0
cam_1,I__00005-0.JPG,8,0.99170905,superb_lyrebird,1,OEVq9wFfsZnaiFV0.JPG,0.9,0,3,22/07/2023 12:39:28,0
cam_1,I__00007-0.JPG,1,0.9969348,tasmanian_pademelon,1,5sInclIMWjsHJTxK.JPG,0.947,0,4,27/07/2023 8:20:08,1
cam_1,I__00008-0.JPG,1,0.9997875,tasmanian_pademelon,1,rOjP7qnBN86Qvsni.JPG,0.953,0,4,27/07/2023 8:21:20,1
cam_1,I__00009-0.JPG,1,0.9953637,tasmanian_pademelon,1,LvxGf91XEPU72FQJ.JPG,0.861,0,4,27/07/2023 8:22:20,1
cam_1,I__00010-0.JPG,1,0.9979646,tasmanian_pademelon,1,Jgdl2A06HFG0U34u.JPG,0.953,0,5,29/07/2023 15:35:58,1
cam_1,I__00011-0.JPG,1,0.99236804,tasmanian_pademelon,1,GjN3fPac2jHgVfly.JPG,0.916,0,5,29/07/2023 15:39:30,1
cam_1,I__00012-0.JPG,2,0.8795044,bennetts_wallaby,1,SpVvlFp3no81VsJn.JPG,0.962,0,6,6/08/2023 10:42:56,0
cam_1,I__00013-0.JPG,2,0.9983997,bennetts_wallaby,1,1Y8slOxkn2mOcgjc.JPG,0.985,0,6,6/08/2023 10:44:28,1
cam_1,I__00014-0.JPG,2,0.99851376,bennetts_wallaby,1,H3zJ8sY1hMCai34a.JPG,0.95,0,6,6/08/2023 10:45:32,1
cam_1,I__00015-0.JPG,2,0.99955696,bennetts_wallaby,1,Loi4Id3izMfaI4an.JPG,0.946,0,6,6/08/2023 10:46:56,1
cam_1,I__00016-0.JPG,2,0.97494894,bennetts_wallaby,1,0i9hyPWqhLg1JfoA.JPG,0.949,0,6,6/08/2023 10:50:10,0
cam_1,I__00017-0.JPG,2,0.93687,bennetts_wallaby,1,PbMCtFmz0TZolLjT.JPG,0.973,0,6,6/08/2023 10:51:10,0
cam_1,I__00018-0.JPG,4,0.97360396,brushtail_possum,1,tPnmwsRIDdCms6m9.JPG,0.918,0,7,6/08/2023 23:44:58,1
cam_1,I__00019-0.JPG,1,0.98966295,tasmanian_pademelon,2,7eBwezmDrPRtRJJX.JPG,0.864,0,8,7/08/2023 17:52:58,1
cam_1,I__00020-0.JPG,1,0.9994615,tasmanian_pademelon,1,JmZSp7AGcAvj7y9a.JPG,0.864,0,8,7/08/2023 17:54:42,1
cam_1,I__00021-0.JPG,1,0.9016655,tasmanian_pademelon,1,dQ9NOIRjm39ubWCt.JPG,0.925,0,9,8/08/2023 8:45:30,1
cam_1,I__00024-0.JPG,1,0.986585,tasmanian_pademelon,1,5wJczgF7czcnViR0.JPG,0.96,0,10,9/08/2023 14:24:04,0
cam_1,I__00025-0.JPG,1,0.99369144,tasmanian_pademelon,1,uqB94ZjOibAKbN31.JPG,0.974,0,11,13/08/2023 7:27:10,1
cam_1,I__00026-0.JPG,1,0.99180895,tasmanian_pademelon,1,NZEPBMBCC3JFWgp3.JPG,0.961,0,12,13/08/2023 8:48:20,1
cam_1,I__00027-0.JPG,1,0.9700154,tasmanian_pademelon,1,Y0XErtZ4e6tQzYQn.JPG,0.929,0,12,13/08/2023 8:49:20,1
cam_1,I__00028-0.JPG,1,0.9986681,tasmanian_pademelon,1,FoAa3l60lsec9CZ4.JPG,0.971,0,13,13/08/2023 13:39:34,0
cam_1,I__00030-0.JPG,1,0.9808944,tasmanian_pademelon,1,iDKdJnS9JwpUEzBy.JPG,0.956,0,14,15/08/2023 9:29:40,0
cam_1,I__00031-0.JPG,8,0.9961202,superb_lyrebird,1,jGNZmEPCU8utI0gH.JPG,0.93,0,15,15/08/2023 10:44:16,0
cam_1,I__00032-0.JPG,1,0.9967152,tasmanian_pademelon,1,wGrfCnyz7PrY32uA.JPG,0.977,0,16,16/08/2023 9:35:02,0
cam_1,I__00033-0.JPG,1,0.9956435,tasmanian_pademelon,1,iLQlwY3foxvGMB4h.JPG,0.881,0,16,16/08/2023 9:38:28,0
cam_1,I__00034-0.JPG,1,0.9937582,tasmanian_pademelon,1,BpWdMaKOy25HgNDY.JPG,0.909,0,17,16/08/2023 10:05:26,0
cam_1,I__00035-0.JPG,1,0.99409217,tasmanian_pademelon,1,2ZIU6UbW2jGB8BzG.JPG,0.943,0,17,16/08/2023 10:06:40,0
cam_1,I__00036.JPG,8,1,superb_lyrebird,1,none,0,4,18,16/08/2023 11:54:14,0
cam_1,I__00037-0.JPG,6,0.9938599,bare_nosed_wombat,1,niPbZWwRNYcxf1EK.JPG,0.892,0,19,17/08/2023 21:22:34,1
cam_1,I__00038-0.JPG,6,0.99502856,bare_nosed_wombat,1,VkfddCHodsdH5xDQ.JPG,0.942,0,19,17/08/2023 21:24:46,1
cam_1,I__00040-0.JPG,1,0.9906094,tasmanian_pademelon,1,kSmOBOxewlHgNXsZ.JPG,0.954,0,20,20/08/2023 16:02:42,0
cam_1,I__00041-0.JPG,1,0.994919,tasmanian_pademelon,1,96F77tDtS1D4DWgs.JPG,0.974,0,20,20/08/2023 16:03:36,0
cam_1,I__00042-0.JPG,0,0.82633907,unknown_animal,1,cn23hhJM2vpbsK4x.JPG,0.123,0,21,21/08/2023 8:27:48,1
cam_1,I__00043-0.JPG,36,0.9603448,long_tailed_mouse,1,22dNBbhio4oXoYc9.JPG,0.965,0,22,21/08/2023 18:45:22,1
cam_1,I__00044-0.JPG,36,0.9627251,long_tailed_mouse,2,VfilTMIKk8m3yePb.JPG,0.63,0,23,22/08/2023 23:05:10,1
