class,order,family,genus,species,class_name,short,diet,sec_diet,activity,habitat,status,body_size,sociality,mobility,reproductive,litter
Aves,Passeriformes,Turdidae,Zoothera,lunulata,bassian_thrush,bas,insectivore,omnivore,diurnal,terrestrial,native,medium,solitary,mobile,monogamous,small
Aves,Passeriformes,Estrildidae,Stagonopleura,bella,beautiful_firetail,bft,granivore,insectivore,diurnal,terrestrial,native,small,social,mobile,monogamous,small
Aves,Passeriformes,Cracticidae,Strepera,fuliginosa,black_currawong,bcw,omnivore,na,diurnal,arboreal,native,medium,social,mobile,monogamous,small
Aves,Falconiformes,Falconidae,Falco,berigora,brown_falcon,fal,carnivore,insectivore,diurnal,terrestrial,native,medium,solitary,mobile,monogamous,small
Aves,Passeriformes,Acanthizidae,Acanthiza,pusilla,brown_thornbill,bth,insectivore,frugivore,diurnal,arboreal,native,small,social,mobile,cooperative,small
Aves,Columbiformes,Columbidae,Phaps,elegans,brush_bronzewing,bbz,granivore,na,diurnal,terrestrial,native,medium,solitary,sedentary,monogamous,small
Aves,Galliformes,Phasianidae,Gallus,gallus,chicken,chi,omnivore,granivore,diurnal,terrestrial,domestic,medium,social,sedentary,polygynous,multiple
Aves,Passeriformes,Turdidae,Turdus,merula,common_blackbird,cbb,omnivore,na,diurnal,terrestrial,introduced,small,solitary,mobile,monogamous,multiple
Aves,Columbiformes,Columbidae,Phaps,chalcoptera,common_bronzewing,cbz,granivore,na,diurnal,terrestrial,native,medium,solitary,sedentary,monogamous,small
Aves,Passeriformes,Corvidae,Corvus,tasmanicus,forest_raven,rav,omnivore,na,diurnal,arboreal,native,medium,social,mobile,monogamous,small
Aves,Anseriformes,Anatidae,Anas,superciliosa,gray_duck,grd,omnivore,herbivore,diurnal,terrestrial,native,medium,social,mobile,monogamous,multiple
Aves,Psittaciformes,Psittacidae,Platycercus,caledonicus,green_rosella,ros,granivore,frugivore,diurnal,arboreal,native,medium,social,mobile,monogamous,small
